,param_max_depth,param_subsample,param_colsample_bylevel,param_colsample_bytree,param_learning_rate,param_n_estimators,mean_test_score,rank_test_score
1,3,0.8,0.3,0.3,0.3,50,0.8409114183307732,1
3,3,0.8,0.3,0.3,0.3,100,0.8409114183307732,1
11,3,0.8,0.3,0.3,0.7,100,0.839247311827957,3
21,5,0.8,0.3,0.8,0.3,50,0.8361751152073733,4
17,3,0.8,0.3,0.8,0.3,50,0.8360983102918587,5
5,5,0.8,0.3,0.3,0.3,50,0.8346134152585766,6
25,3,0.8,0.3,0.8,0.7,50,0.834536610343062,7
2,3,0.3,0.3,0.3,0.3,100,0.8344598054275474,8
53,5,0.8,0.8,0.8,0.3,50,0.8328981054787505,9
19,3,0.8,0.3,0.8,0.3,100,0.8328725038402458,10
37,5,0.8,0.8,0.3,0.3,50,0.8328725038402458,10
35,3,0.8,0.8,0.3,0.3,100,0.8313108038914491,12
27,3,0.8,0.3,0.8,0.7,100,0.8313108038914491,12
7,5,0.8,0.3,0.3,0.3,100,0.8312596006144393,14
23,5,0.8,0.3,0.8,0.3,100,0.8297491039426523,15
36,5,0.3,0.8,0.3,0.3,50,0.8296466973886328,16
22,5,0.3,0.3,0.8,0.3,100,0.8281618023553508,17
0,3,0.3,0.3,0.3,0.3,50,0.828110599078341,18
20,5,0.3,0.3,0.8,0.3,50,0.8265488991295443,19
6,5,0.3,0.3,0.3,0.3,100,0.8264720942140297,20
15,5,0.8,0.3,0.3,0.7,100,0.8264464925755248,21
38,5,0.3,0.8,0.3,0.3,100,0.8264464925755247,22
9,3,0.8,0.3,0.3,0.7,50,0.8264208909370201,23
33,3,0.8,0.8,0.3,0.3,50,0.8264208909370201,23
34,3,0.3,0.8,0.3,0.3,100,0.8249103942652329,25
4,5,0.3,0.3,0.3,0.3,50,0.8249103942652329,25
41,3,0.8,0.8,0.3,0.7,50,0.8249103942652329,25
48,3,0.3,0.8,0.8,0.3,50,0.8248847926267281,28
50,3,0.3,0.8,0.8,0.3,100,0.8248847926267281,28
51,3,0.8,0.8,0.8,0.3,100,0.8232462877624169,30
18,3,0.3,0.3,0.8,0.3,100,0.8232462877624167,31
49,3,0.8,0.8,0.8,0.3,50,0.823195084485407,32
56,3,0.3,0.8,0.8,0.7,50,0.8217357910906298,33
13,5,0.8,0.3,0.3,0.7,50,0.8216845878136201,34
57,3,0.8,0.8,0.8,0.7,50,0.82168458781362,35
29,5,0.8,0.3,0.8,0.7,50,0.8200716845878138,36
54,5,0.3,0.8,0.8,0.3,100,0.8185099846390168,37
39,5,0.8,0.8,0.3,0.3,100,0.818484383000512,38
32,3,0.3,0.8,0.3,0.3,50,0.818484383000512,38
52,5,0.3,0.8,0.8,0.3,50,0.8184331797235023,40
43,3,0.8,0.8,0.3,0.7,100,0.8183307731694829,41
55,5,0.8,0.8,0.8,0.3,100,0.8168970814132104,42
16,3,0.3,0.3,0.8,0.3,50,0.8168714797747055,43
59,3,0.8,0.8,0.8,0.7,100,0.8167946748591909,44
45,5,0.8,0.8,0.3,0.7,50,0.813773681515617,45
61,5,0.8,0.8,0.8,0.7,50,0.8136456733230928,46
14,5,0.3,0.3,0.3,0.7,100,0.8135688684075781,47
8,3,0.3,0.3,0.3,0.7,50,0.8121095750128008,48
26,3,0.3,0.3,0.8,0.7,100,0.810394265232975,49
12,5,0.3,0.3,0.3,0.7,50,0.8103686635944701,50
47,5,0.8,0.8,0.3,0.7,100,0.808883768561188,51
40,3,0.3,0.8,0.3,0.7,50,0.808858166922683,52
63,5,0.8,0.8,0.8,0.7,100,0.8088069636456734,53
31,5,0.8,0.3,0.8,0.7,100,0.8088069636456732,54
62,5,0.3,0.8,0.8,0.7,100,0.8073220686123912,55
10,3,0.3,0.3,0.3,0.7,100,0.8071172555043523,56
58,3,0.3,0.8,0.8,0.7,100,0.8055555555555556,57
24,3,0.3,0.3,0.8,0.7,50,0.8023553507424473,58
42,3,0.3,0.8,0.3,0.7,100,0.7993087557603686,59
28,5,0.3,0.3,0.8,0.7,50,0.7974910394265233,60
46,5,0.3,0.8,0.3,0.7,100,0.7974910394265232,61
30,5,0.3,0.3,0.8,0.7,100,0.7959549411162314,62
44,5,0.3,0.8,0.3,0.7,50,0.7928571428571429,63
60,5,0.3,0.8,0.8,0.7,50,0.7848694316436252,64
